file,sample_size,miss_proportion,r_repeat,sample_repeat,r_size,ang_js,collapsed_js,ang_complete_rows,collapsed_complete_rows,ang_nodes,collapsed_nodes
hailfinder,100,0.2,10,50,5,0.030529835,0.028267036,94.854,97.342,29.8,14.1
hailfinder,100,0.4,10,50,5,0.047834667,0.042727304,88.898,93.776,33.3,16.8
hailfinder,100,0.6,10,50,5,0.05255193,0.051788547,87.216,93.484,24.7,11.6
hailfinder,100,0.8,10,50,5,0.044777389,0.040436319,80.666,89.872,28.3,13.5
hepar2,100,0.2,10,50,5,0.009985339,0.00989548,96.186,97.24,21.3,15
hepar2,100,0.4,10,50,5,0.01126543,0.011036129,92.314,94.872,21.3,13.6
hepar2,100,0.6,10,50,5,0.012128163,0.011891513,87.144,90.246,23.9,17.7
hepar2,100,0.8,10,50,5,0.012128236,0.011532558,82.602,88.1,24.9,16.6
andes,100,0.2,10,50,5,0.007176158,0.007293267,87.376,90.986,110.8,63.5
andes,100,0.4,10,50,5,0.008975552,0.008565509,71.158,78.252,135.4,82.6
andes,100,0.6,10,50,5,0.010347375,0.008832301,59.61,74.148,115.5,59.5
andes,100,0.8,10,50,5,0.014198272,0.010671706,46.582,63.126,115.1,64.9
munin,100,0.2,10,50,5,0.020623531,0.020131405,92.82,95.236,48.2,28.2
munin,100,0.4,10,50,5,0.020318707,0.020089192,84.678,90.69,51,27.1
munin,100,0.6,10,50,5,0.02289567,0.020878774,76.312,87.376,53,24.6
munin,100,0.8,10,50,5,0.041047805,0.037211369,63.994,76.882,60.6,34.3
