file,sample_size,r_repeat,sample_repeat,r_size,ang_js,collapsed_js,ang_complete_rows,collapsed_complete_rows,ang_nodes,collapsed_nodes
hailfinder,500,50,10,5,0.007978023566466968,0.008075881169593539,500.0,500.0,28.1,13.2
hailfinder,1000,50,10,5,0.003972797293399426,0.004029435927829288,1000.0,1000.0,28.1,13.2
hailfinder,2500,50,10,5,0.0015072286463376917,0.0015252437522046414,2500.0,2500.0,28.1,13.2
hailfinder,5000,50,10,5,0.0007490849879818146,0.0007609654917082934,5000.0,5000.0,28.1,13.2
hepar2,500,50,10,5,0.0022388935823631443,0.0022758106902156434,500.0,500.0,22.76,14.74
hepar2,1000,50,10,5,0.001118461456215104,0.001129378786203926,1000.0,1000.0,22.76,14.74
hepar2,2500,50,10,5,0.0004278346893182141,0.00042718173549425345,2500.0,2500.0,22.76,14.74
hepar2,5000,50,10,5,0.00021818805438484251,0.00021975894201873493,5000.0,5000.0,22.76,14.74
andes,500,50,10,5,0.0011946806537702977,0.0012671566815362645,500.0,500.0,114.18,63.18
andes,1000,50,10,5,0.000596715849136985,0.000637605665776183,1000.0,1000.0,114.18,63.18
andes,2500,50,10,5,0.00022947504130402694,0.00024132630274169222,2500.0,2500.0,114.18,63.18
andes,5000,50,10,5,0.00011334076678790365,0.000121157667533781,5000.0,5000.0,114.18,63.18
munin,500,50,10,5,0.005795444420748629,0.005837785779885788,500.0,500.0,50.36,28.04
munin,1000,50,10,5,0.0030893612355453897,0.0030895078513010453,1000.0,1000.0,50.36,28.04
munin,2500,50,10,5,0.0012737051509157243,0.0012742668785272054,2500.0,2500.0,50.36,28.04
munin,5000,50,10,5,0.0006391238114887927,0.0006448097297860061,5000.0,5000.0,50.36,28.04
